entry_date,score,ndx_close,expiration,dte_calendar,underlying,candidate_type,leg_name,side,target_short_strike,selected_short_strike,selected_long_strike,strike_price,raw_symbol,quote_available,records_received,quote_timestamp_utc,quote_age_seconds,bid,ask,mid,bid_size,ask_size,dataset_condition,target_entry_timestamp_local,instrument_role
2026-04-10,2,25116.34,2026-05-15 20:00:00+00:00,35.0,MNQM6,standard,short_put,sell,22479.12,22400.0,22250.0,22400.0,MQ3K6 P22400,True,99,2026-04-10 19:45:00+00:00,0.0,91.0,114.0,102.5,162,162,degraded,2026-04-10T15:45:00-04:00,option_leg
2026-04-10,2,25116.34,2026-05-15 20:00:00+00:00,35.0,MNQM6,standard,long_put,buy,22479.12,22400.0,22250.0,22250.0,MQ3K6 P22250,True,96,2026-04-10 19:45:00+00:00,0.0,82.5,105.0,93.75,166,166,degraded,2026-04-10T15:45:00-04:00,option_leg
2026-04-10,2,25116.34,2026-05-15 20:00:00+00:00,35.0,MNQM6,defensive,short_put,sell,21725.63,21400.0,21250.0,21400.0,MQ3K6 P21400,True,77,2026-04-10 19:45:00+00:00,0.0,46.75,68.0,57.375,187,187,degraded,2026-04-10T15:45:00-04:00,option_leg
2026-04-10,2,25116.34,2026-05-15 20:00:00+00:00,35.0,MNQM6,defensive,long_put,buy,21725.63,21400.0,21250.0,21250.0,MQ3K6 P21250,True,69,2026-04-10 19:45:00+00:00,0.0,42.25,63.25,52.75,194,194,degraded,2026-04-10T15:45:00-04:00,option_leg
2026-04-10,2,25116.34,,,MNQM6,,,,,,,,MNQM6,True,600,2026-04-10 19:45:00+00:00,0.0,25277.0,25277.25,25277.125,2,3,degraded,2026-04-10T15:45:00-04:00,underlying_future
2026-04-17,2,26672.43,2026-05-15 20:00:00+00:00,28.0,MNQM6,standard,short_put,sell,23871.82,23750.0,23600.0,23750.0,MQ3K6 P23750,True,121,2026-04-17 19:44:59+00:00,1.0,45.75,61.0,53.375,182,182,available,2026-04-17T15:45:00-04:00,option_leg
2026-04-17,2,26672.43,2026-05-15 20:00:00+00:00,28.0,MNQM6,standard,long_put,buy,23871.82,23750.0,23600.0,23600.0,MQ3K6 P23600,True,119,2026-04-17 19:44:59+00:00,1.0,41.25,55.75,48.5,186,186,available,2026-04-17T15:45:00-04:00,option_leg
2026-04-17,2,26672.43,2026-05-15 20:00:00+00:00,28.0,MNQM6,defensive,short_put,sell,23071.65,22900.0,22750.0,22900.0,MQ3K6 P22900,True,110,2026-04-17 19:44:59+00:00,1.0,24.0,37.75,30.875,218,218,available,2026-04-17T15:45:00-04:00,option_leg
2026-04-17,2,26672.43,2026-05-15 20:00:00+00:00,28.0,MNQM6,defensive,long_put,buy,23071.65,22900.0,22750.0,22750.0,MQ3K6 P22750,True,101,2026-04-17 19:44:56+00:00,4.0,25.0,35.25,30.125,225,224,available,2026-04-17T15:45:00-04:00,option_leg
2026-04-17,2,26672.43,,,MNQM6,,,,,,,,MNQM6,True,600,2026-04-17 19:45:00+00:00,0.0,26822.75,26823.25,26823.0,13,4,available,2026-04-17T15:45:00-04:00,underlying_future
