screen_rank,factor_id,factor_label,category,observations,observation_share,touches,touch_rate,touch_rate_lift,failures,failure_rate,failure_rate_ci_lower,failure_rate_ci_upper,failure_rate_lift,complement_failure_rate,failure_capture,failure_capture_efficiency,clustered_failures,clustered_share_of_failures,average_expiration_return,fifth_percentile_expiration_return,first_percentile_expiration_return,fifth_percentile_maximum_adverse_return,odds_ratio,fisher_p_value,higher_risk_subperiods,2005_2012_n,2005_2012_failures,2005_2012_failure_rate,2013_2019_n,2013_2019_failures,2013_2019_failure_rate,2020_2026_n,2020_2026_failures,2020_2026_failure_rate,classification
1,expanded_rolling_four_week,Rolling four-week range at least 120% of prior ATR,Structure,279,0.25363636363636366,27,0.0967741935483871,1.6633064516129032,10,0.035842293906810034,0.019583283775204192,0.06470937586564532,1.971326164874552,0.012180267965895249,0.5,1.9713261648745517,7,0.7,0.008914668272819826,-0.10095221347001747,-0.25080550977930227,-0.15309513515329487,3.0148698884758365,0.01726648045100017,3,102,5,0.049019607843137254,90,1,0.011111111111111112,87,4,0.04597701149425287,Candidate risk flag
2,below_40_week_sma,NDX below 40-week SMA,Trend,225,0.20454545454545456,25,0.1111111111111111,1.909722222222222,7,0.03111111111111111,0.015150361254520128,0.06281391546630598,1.7111111111111112,0.014857142857142857,0.35,1.7111111111111108,5,0.7142857142857143,0.015547350099814746,-0.10812295575262758,-0.2290905505284963,-0.157517171974997,2.1291460832745237,0.15521110181733738,2,111,5,0.04504504504504504,43,0,0.0,71,2,0.028169014084507043,Candidate risk flag
3,expanded_week,Weekly range at least 120% of prior ATR,Structure,303,0.27545454545454545,26,0.0858085808580858,1.4748349834983498,9,0.0297029702970297,0.0157040293944115,0.055477547256406745,1.6336633663366336,0.013801756587202008,0.45,1.6336633663366338,5,0.5555555555555556,0.013179631134183752,-0.0953706525454902,-0.16060836309763324,-0.13922436218668618,2.1873840445269015,0.12547878993281167,3,94,4,0.0425531914893617,109,1,0.009174311926605505,100,4,0.04,Candidate risk flag
4,below_falling_40_week_sma,NDX below a falling 40-week SMA,Trend,145,0.1318181818181818,16,0.1103448275862069,1.896551724137931,5,0.034482758620689655,0.014817219595970148,0.07817742672343078,1.896551724137931,0.015706806282722512,0.25,1.8965517241379313,4,0.8,0.016154287603944086,-0.11099813485029639,-0.2665979599851977,-0.16712735440283938,2.238095238095238,0.16899818344036693,1,75,5,0.06666666666666667,22,0,0.0,48,0,0.0,Watchlist
5,drawdown_15_percent,NDX at least 15% below prior 52-week high,Drawdown,145,0.1318181818181818,17,0.11724137931034483,2.0150862068965516,5,0.034482758620689655,0.014817219595970148,0.07817742672343078,1.896551724137931,0.015706806282722512,0.25,1.8965517241379313,4,0.8,0.019228100735308645,-0.11099813485029639,-0.2665979599851977,-0.16712735440283938,2.238095238095238,0.16899818344036693,1,77,5,0.06493506493506493,6,0,0.0,62,0,0.0,Watchlist
6,vix_top_20_percentile,VIX in top 20% of prior-year readings,Volatility,224,0.20363636363636364,21,0.09375,1.611328125,6,0.026785714285714284,0.01233269850084915,0.05719573106016846,1.4732142857142858,0.01598173515981735,0.3,1.4732142857142856,5,0.8333333333333334,0.014286849283706873,-0.09383069562151027,-0.25700968455763257,-0.15373808824587562,1.6946264744429882,0.2687787441487414,3,88,3,0.03409090909090909,62,1,0.016129032258064516,74,2,0.02702702702702703,Watchlist
7,drawdown_10_percent,NDX at least 10% below prior 52-week high,Drawdown,234,0.21272727272727274,27,0.11538461538461539,1.983173076923077,6,0.02564102564102564,0.011803322818122922,0.054801796824356305,1.4102564102564104,0.016166281755196306,0.3,1.4102564102564101,4,0.6666666666666666,0.013778735454041244,-0.10753281361663758,-0.22187806702619364,-0.1612259004382867,1.6015037593984962,0.4049044332538504,1,124,5,0.04032258064516129,22,0,0.0,88,1,0.011363636363636364,Watchlist
8,vix_up_20_percent_20_days,VIX increased at least 20% in twenty days,Volatility,195,0.17727272727272728,16,0.08205128205128205,1.4102564102564104,5,0.02564102564102564,0.011000939888087279,0.05860958752800708,1.4102564102564104,0.016574585635359115,0.25,1.4102564102564101,5,1.0,0.009013392669909758,-0.0992174381388938,-0.2608852800211571,-0.1532665893113164,1.5614035087719298,0.37745936659131785,2,66,3,0.045454545454545456,61,0,0.0,68,2,0.029411764705882353,Watchlist
9,below_falling_20_week_sma,NDX below a falling 20-week SMA,Trend,162,0.14727272727272728,14,0.08641975308641975,1.4853395061728394,4,0.024691358024691357,0.0096429327650649,0.061759350505350454,1.3580246913580247,0.017057569296375266,0.2,1.3580246913580247,3,0.75,0.019302378114487345,-0.10059395831185382,-0.26105045923532505,-0.15380099927501947,1.4588607594936709,0.5200466699628752,1,76,3,0.039473684210526314,28,0,0.0,58,1,0.017241379310344827,Watchlist
10,negative_4_and_12_week_momentum,Negative four- and twelve-week momentum,Momentum,204,0.18545454545454546,16,0.0784313725490196,1.3480392156862744,5,0.024509803921568627,0.010513534215853014,0.05608270168063972,1.3480392156862746,0.016741071428571428,0.25,1.3480392156862746,5,1.0,0.017446406581064444,-0.09683378996279425,-0.24591967870053588,-0.15294095992468337,1.4757118927973198,0.39658489114712847,1,96,4,0.041666666666666664,43,0,0.0,65,1,0.015384615384615385,Watchlist
11,negative_12_week_momentum,Negative NDX twelve-week momentum,Momentum,303,0.27545454545454545,25,0.08250825082508251,1.4181105610561056,7,0.0231023102310231,0.011234864247264411,0.04691066435654777,1.2706270627062706,0.01631116687578419,0.35,1.2706270627062706,6,0.8571428571428571,0.017885712427196655,-0.09701094279344775,-0.16783873066850918,-0.15071252795819537,1.4261954261954262,0.45366737775854266,1,145,5,0.034482758620689655,66,0,0.0,92,2,0.021739130434782608,Watchlist
12,rolling_four_week_top_close,Rolling four-week close in top 30% of range,Structure,579,0.5263636363636364,28,0.04835924006908463,0.8311744386873922,13,0.022452504317789293,0.013167498657863232,0.0380324603860156,1.234887737478411,0.013435700575815739,0.65,1.234887737478411,5,0.38461538461538464,0.01082668678903399,-0.07423639821846255,-0.11438205013793992,-0.10596197030273057,1.6865219586067643,0.3666059036738424,2,186,4,0.021505376344086023,214,3,0.014018691588785047,179,6,0.0335195530726257,No clear individual edge
13,vix_up_10_percent_5_days,VIX increased at least 10% in five days,Volatility,228,0.20727272727272728,20,0.08771929824561403,1.5076754385964912,5,0.021929824561403508,0.009402628199664777,0.05029963079707098,1.206140350877193,0.017201834862385322,0.25,1.206140350877193,5,1.0,0.007585093025620368,-0.08695713429088953,-0.22668638936106209,-0.13909848626184293,1.28101644245142,0.5841455923597764,2,81,3,0.037037037037037035,81,0,0.0,66,2,0.030303030303030304,No clear individual edge
14,below_20_week_sma,NDX below 20-week SMA,Trend,276,0.2509090909090909,24,0.08695652173913043,1.4945652173913042,6,0.021739130434782608,0.010000423669200825,0.04660826786440213,1.1956521739130435,0.01699029126213592,0.3,1.1956521739130435,5,0.8333333333333334,0.018950330937391645,-0.09911155197174304,-0.18821981068211446,-0.15266716732628055,1.2857142857142858,0.6060412901056976,1,133,4,0.03007518796992481,59,0,0.0,84,2,0.023809523809523808,No clear individual edge
