fold_number,fold_label,model_id,model_label,complexity,training_start,training_end,test_start,test_end,train_observations,train_failures,train_normal_observations,train_normal_failures,train_normal_failure_rate,train_elevated_observations,train_elevated_observation_share,train_elevated_failures,train_elevated_failure_rate,train_elevated_rate_lift_vs_normal,train_elevated_failure_capture,train_failure_capture_efficiency,train_odds_ratio,train_fisher_p_value,train_direction_supportive,test_observations,test_failures,test_normal_observations,test_normal_failures,test_normal_failure_rate,test_elevated_observations,test_elevated_observation_share,test_elevated_failures,test_elevated_failure_rate,test_elevated_rate_lift_vs_normal,test_elevated_failure_capture,test_failure_capture_efficiency,test_odds_ratio,test_fisher_p_value,test_direction_supportive,train_normal_probability,train_elevated_probability,train_baseline_probability,test_model_brier_score,test_baseline_brier_score,test_brier_skill_vs_baseline,test_model_log_loss,test_baseline_log_loss,test_log_loss_improvement,test_informative
1,2011-2013,full_three_factor_score,Full score: at least 2 of 3 flags,3,2005-05-13,2010-12-31,2011-01-07,2013-12-27,295,8,236,4,0.01694915254237288,59,0.2,4,0.06779661016949153,4.0,0.5,2.5,4.218181818181818,0.053767558970570145,True,156,1,132,0,0.0,24,0.15384615384615385,1,0.041666666666666664,inf,1.0,6.5,inf,0.15384615384615383,True,0.0189873417721519,0.075,0.028716216216216218,0.006619157227433146,0.00686672086587627,0.036052672487879245,0.044319304778642696,0.051708111373457405,0.007388806594814709,True
1,2011-2013,any_one_flag,Any one of the three flags,3,2005-05-13,2010-12-31,2011-01-07,2013-12-27,295,8,140,2,0.014285714285714285,155,0.5254237288135594,6,0.03870967741935484,2.709677419354839,0.75,1.4274193548387095,2.778523489932886,0.28749274171615613,True,156,1,82,0,0.0,74,0.47435897435897434,1,0.013513513513513514,inf,1.0,2.1081081081081083,inf,0.47435897435897434,True,0.01773049645390071,0.041666666666666664,0.028716216216216218,0.006864854296525868,0.00686672086587627,0.00027182834235728315,0.04969134610566411,0.051708111373457405,0.002016765267793298,True
1,2011-2013,rolling_atr_only,Rolling four-week ATR expansion only,1,2005-05-13,2010-12-31,2011-01-07,2013-12-27,295,8,218,4,0.01834862385321101,77,0.26101694915254237,4,0.05194805194805195,2.831168831168831,0.5,1.9155844155844157,2.9315068493150687,0.21256530726919226,True,156,1,120,0,0.0,36,0.23076923076923078,1,0.027777777777777776,inf,1.0,4.333333333333333,inf,0.23076923076923075,True,0.02054794520547945,0.057692307692307696,0.028716216216216218,0.006763487410785714,0.00686672086587627,0.015033879650411919,0.047589039232069474,0.051708111373457405,0.0041190721413879305,True
1,2011-2013,weekly_atr_only,Weekly ATR expansion only,1,2005-05-13,2010-12-31,2011-01-07,2013-12-27,295,8,231,5,0.021645021645021644,64,0.21694915254237288,3,0.046875,2.165625,0.375,1.728515625,2.222950819672131,0.37718225846983633,True,156,1,111,0,0.0,45,0.28846153846153844,1,0.022222222222222223,inf,1.0,3.466666666666667,inf,0.28846153846153844,True,0.023706896551724137,0.05384615384615385,0.028716216216216218,0.006956185550547617,0.00686672086587627,-0.013028734736537206,0.051411460599724866,0.051708111373457405,0.00029665077373253884,True
1,2011-2013,trend_only,Below 40-week SMA only,1,2005-05-13,2010-12-31,2011-01-07,2013-12-27,295,8,208,3,0.014423076923076924,87,0.29491525423728815,5,0.05747126436781609,3.9846743295019156,0.625,2.119252873563218,4.166666666666667,0.05165086493174227,True,156,1,132,1,0.007575757575757576,24,0.15384615384615385,0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.01674641148325359,0.0625,0.028716216216216218,0.007033817694309383,0.00686672086587627,-0.024334297504867264,0.05032597661863784,0.051708111373457405,0.001382134754819568,True
1,2011-2013,atr_any,Either ATR expansion flag,2,2005-05-13,2010-12-31,2011-01-07,2013-12-27,295,8,189,3,0.015873015873015872,106,0.3593220338983051,5,0.04716981132075472,2.9716981132075477,0.625,1.7393867924528301,3.0693069306930694,0.1409445288153808,True,156,1,93,0,0.0,63,0.40384615384615385,1,0.015873015873015872,inf,1.0,2.4761904761904763,inf,0.40384615384615385,True,0.018421052631578946,0.0514018691588785,0.028716216216216218,0.007020577045308092,0.00686672086587627,-0.022406062870037546,0.051083054160979045,0.051708111373457405,0.0006250572124783596,True
1,2011-2013,atr_both,Both ATR expansion flags,2,2005-05-13,2010-12-31,2011-01-07,2013-12-27,295,8,260,6,0.023076923076923078,35,0.11864406779661017,2,0.05714285714285714,2.476190476190476,0.25,2.107142857142857,2.5656565656565657,0.24287798028718488,True,156,1,138,0,0.0,18,0.11538461538461539,1,0.05555555555555555,inf,1.0,8.666666666666666,inf,0.1153846153846154,True,0.02490421455938697,0.06944444444444445,0.028716216216216218,0.006625044956768104,0.00686672086587627,0.03519524294473053,0.04725050348743895,0.051708111373457405,0.004457607886018455,True
2,2014-2016,full_three_factor_score,Full score: at least 2 of 3 flags,3,2005-05-13,2013-12-27,2014-01-03,2016-12-30,451,9,368,4,0.010869565217391304,83,0.18403547671840353,5,0.060240963855421686,5.542168674698796,0.5555555555555556,3.0187416331994648,5.833333333333333,0.012852997122155976,True,157,0,133,0,0.0,24,0.15286624203821655,0,0.0,,,,,1.0,False,0.012195121951219513,0.06547619047619048,0.02101769911504425,0.0007813442635889519,0.00044174367609053184,-0.7687729465737085,0.020746232433312934,0.021241715384246986,0.0004954829509340522,False
2,2014-2016,any_one_flag,Any one of the three flags,3,2005-05-13,2013-12-27,2014-01-03,2016-12-30,451,9,222,2,0.009009009009009009,229,0.5077605321507761,7,0.03056768558951965,3.393013100436681,0.7777777777777778,1.5317806889859291,3.4684684684684686,0.17577638976084375,True,157,0,73,0,0.0,84,0.535031847133758,0,0.0,,,,,1.0,False,0.011210762331838564,0.03260869565217391,0.02101769911504425,0.0006273515778336544,0.00044174367609053184,-0.4201710444069462,0.022979573276844363,0.021241715384246986,-0.0017378578925973769,False
2,2014-2016,rolling_atr_only,Rolling four-week ATR expansion only,1,2005-05-13,2013-12-27,2014-01-03,2016-12-30,451,9,338,4,0.011834319526627219,113,0.25055432372505543,5,0.04424778761061947,3.7389380530973453,0.5555555555555556,2.217305801376598,3.865740740740741,0.04761896900858234,True,157,0,121,0,0.0,36,0.22929936305732485,0,0.0,,,,,1.0,False,0.01327433628318584,0.04824561403508772,0.02101769911504425,0.0006695298236004272,0.00044174367609053184,-0.5156523111452815,0.021637506243156364,0.021241715384246986,-0.0003957908589093777,False
