cluster_id,cluster_start_entry,cluster_last_entry,cluster_end_expiration,failure_entries,entry_dates,regime_signatures,maximum_active_flags,average_active_flags,all_failures_flagged,any_failure_flagged,any_expanded_rolling_four_week,count_expanded_rolling_four_week,label_expanded_rolling_four_week,any_below_40_week_sma,count_below_40_week_sma,label_below_40_week_sma,any_expanded_week,count_expanded_week,label_expanded_week
1,2007-12-21,2007-12-28,2008-01-25,2,"2007-12-21, 2007-12-28",None | None,0,0.0,False,False,False,0,Rolling four-week range at least 120% of prior ATR,False,0,NDX below 40-week SMA,False,0,Weekly range at least 120% of prior ATR
2,2008-09-05,2008-09-26,2008-10-24,4,"2008-09-05, 2008-09-12, 2008-09-19, 2008-09-26",Rolling four-week range at least 120% of prior ATR + NDX below 40-week SMA + Weekly range at least 120% of prior ATR | Rolling four-week range at least 120% of prior ATR + NDX below 40-week SMA | Rolling four-week range at least 120% of prior ATR + NDX below 40-week SMA + Weekly range at least 120% of prior ATR | Rolling four-week range at least 120% of prior ATR + NDX below 40-week SMA,3,2.5,True,True,True,4,Rolling four-week range at least 120% of prior ATR,True,4,NDX below 40-week SMA,True,2,Weekly range at least 120% of prior ATR
3,2009-02-06,2009-02-06,2009-03-06,1,2009-02-06,NDX below 40-week SMA,1,1.0,True,True,False,0,Rolling four-week range at least 120% of prior ATR,True,1,NDX below 40-week SMA,False,0,Weekly range at least 120% of prior ATR
4,2010-04-23,2010-04-23,2010-05-21,1,2010-04-23,Weekly range at least 120% of prior ATR,1,1.0,True,True,False,0,Rolling four-week range at least 120% of prior ATR,False,0,NDX below 40-week SMA,True,1,Weekly range at least 120% of prior ATR
5,2011-07-22,2011-07-22,2011-08-19,1,2011-07-22,Rolling four-week range at least 120% of prior ATR + Weekly range at least 120% of prior ATR,2,2.0,True,True,True,1,Rolling four-week range at least 120% of prior ATR,False,0,NDX below 40-week SMA,True,1,Weekly range at least 120% of prior ATR
6,2018-03-09,2018-03-09,2018-04-06,1,2018-03-09,Rolling four-week range at least 120% of prior ATR + Weekly range at least 120% of prior ATR,2,2.0,True,True,True,1,Rolling four-week range at least 120% of prior ATR,False,0,NDX below 40-week SMA,True,1,Weekly range at least 120% of prior ATR
7,2018-09-28,2018-09-28,2018-10-26,1,2018-09-28,None,0,0.0,False,False,False,0,Rolling four-week range at least 120% of prior ATR,False,0,NDX below 40-week SMA,False,0,Weekly range at least 120% of prior ATR
8,2019-05-03,2019-05-03,2019-05-31,1,2019-05-03,None,0,0.0,False,False,False,0,Rolling four-week range at least 120% of prior ATR,False,0,NDX below 40-week SMA,False,0,Weekly range at least 120% of prior ATR
9,2020-02-14,2020-02-21,2020-03-20,2,"2020-02-14, 2020-02-21",Rolling four-week range at least 120% of prior ATR | Rolling four-week range at least 120% of prior ATR + Weekly range at least 120% of prior ATR,2,1.5,True,True,True,2,Rolling four-week range at least 120% of prior ATR,False,0,NDX below 40-week SMA,True,1,Weekly range at least 120% of prior ATR
10,2021-12-23,2021-12-31,2022-01-28,2,"2021-12-23, 2021-12-31",Weekly range at least 120% of prior ATR | None,1,0.5,False,True,False,0,Rolling four-week range at least 120% of prior ATR,False,0,NDX below 40-week SMA,True,1,Weekly range at least 120% of prior ATR
11,2022-04-01,2022-04-01,2022-04-29,1,2022-04-01,Rolling four-week range at least 120% of prior ATR + NDX below 40-week SMA,2,2.0,True,True,True,1,Rolling four-week range at least 120% of prior ATR,True,1,NDX below 40-week SMA,False,0,Weekly range at least 120% of prior ATR
12,2024-07-05,2024-07-05,2024-08-02,1,2024-07-05,Weekly range at least 120% of prior ATR,1,1.0,True,True,False,0,Rolling four-week range at least 120% of prior ATR,False,0,NDX below 40-week SMA,True,1,Weekly range at least 120% of prior ATR
13,2025-02-14,2025-03-07,2025-04-04,2,"2025-02-14, 2025-03-07",None | Rolling four-week range at least 120% of prior ATR + NDX below 40-week SMA + Weekly range at least 120% of prior ATR,3,1.5,False,True,True,1,Rolling four-week range at least 120% of prior ATR,True,1,NDX below 40-week SMA,True,1,Weekly range at least 120% of prior ATR
