robustness_rank,normal_observations,normal_failures,normal_failure_rate,elevated_observations,elevated_share,elevated_failures,elevated_failure_rate,elevated_rate_lift_vs_normal,elevated_failure_capture,odds_ratio,fisher_p_value,2005_2012_elevated_observations,2005_2012_elevated_failures,2005_2012_elevated_failure_rate,2005_2012_normal_failure_rate,2005_2012_lift,2013_2019_elevated_observations,2013_2019_elevated_failures,2013_2019_elevated_failure_rate,2013_2019_normal_failure_rate,2013_2019_lift,2020_2026_elevated_observations,2020_2026_elevated_failures,2020_2026_elevated_failure_rate,2020_2026_normal_failure_rate,2020_2026_lift,rolling4w_atr_threshold,weekly_atr_threshold,sma_length_weeks,elevated_score_cutoff,higher_risk_subperiods,minimum_subperiod_lift,median_subperiod_lift,cluster_tests_higher,cluster_test_count,minimum_cluster_removal_lift,median_cluster_removal_lift,is_anchor_definition,classification
1,908,10,0.011013215859030838,192,0.17454545454545456,10,0.052083333333333336,4.729166666666667,0.5,4.934065934065934,0.0007722424949259939,73,5,0.0684931506849315,0.012269938650306749,5.582191780821917,54,1,0.018518518518518517,0.006430868167202572,2.8796296296296293,65,4,0.06153846153846154,0.014760147601476014,4.1692307692307695,1.15,1.3,50,2,3,2.8796296296296293,4.1692307692307695,13,13,2.9672131147540988,4.828877005347594,False,Robust
2,908,10,0.011013215859030838,192,0.17454545454545456,10,0.052083333333333336,4.729166666666667,0.5,4.934065934065934,0.0007722424949259939,72,5,0.06944444444444445,0.012232415902140673,5.677083333333334,54,1,0.018518518518518517,0.006430868167202572,2.8796296296296293,66,4,0.06060606060606061,0.014814814814814815,4.090909090909091,1.3,1.1,50,2,3,2.8796296296296293,4.090909090909091,13,13,2.9672131147540988,5.202546296296297,False,Robust
3,864,9,0.010416666666666666,236,0.21454545454545454,11,0.046610169491525424,4.474576271186441,0.55,4.644444444444445,0.000941197831643736,88,5,0.056818181818181816,0.012861736334405145,4.417613636363637,69,1,0.014492753623188406,0.006756756756756757,2.144927536231884,79,5,0.06329113924050633,0.011673151750972763,5.421940928270042,1.15,1.1,50,2,3,2.144927536231884,4.417613636363637,13,13,2.95007342143906,4.663043478260869,False,Robust
4,945,11,0.01164021164021164,155,0.1409090909090909,9,0.05806451612903226,4.988269794721408,0.45,5.2341220423412205,0.0007349242463804821,59,5,0.0847457627118644,0.011764705882352941,7.203389830508474,43,1,0.023255813953488372,0.006211180124223602,3.744186046511628,53,3,0.05660377358490566,0.0176678445229682,3.2037735849056603,1.3,1.3,50,2,3,3.2037735849056603,3.744186046511628,13,13,2.932752179327522,5.434838709677419,False,Robust
5,859,9,0.010477299185098952,241,0.2190909090909091,11,0.04564315352697095,4.356385431074227,0.55,4.516908212560386,0.0011374865313104805,93,5,0.053763440860215055,0.013071895424836602,4.112903225806452,68,1,0.014705882352941176,0.006734006734006734,2.183823529411765,80,5,0.0625,0.01171875,5.333333333333333,1.15,1.1,40,2,3,2.183823529411765,4.112903225806452,13,13,2.8540772532188843,4.537234042553192,False,Robust
6,903,10,0.01107419712070875,197,0.17909090909090908,10,0.050761421319796954,4.583756345177664,0.5,4.775401069518717,0.0009571142614601424,76,5,0.06578947368421052,0.01238390092879257,5.312499999999999,54,1,0.018518518518518517,0.006430868167202572,2.8796296296296293,67,4,0.05970149253731343,0.01486988847583643,4.014925373134329,1.3,1.1,40,2,3,2.8796296296296293,4.014925373134329,13,13,2.8539682539682536,5.042301184433164,False,Robust
7,902,10,0.011086474501108648,198,0.18,10,0.050505050505050504,4.555555555555555,0.5,4.74468085106383,0.0009982476858579495,76,5,0.06578947368421052,0.01238390092879257,5.312499999999999,54,1,0.018518518518518517,0.006430868167202572,2.8796296296296293,68,4,0.058823529411764705,0.014925373134328358,3.9411764705882355,1.3,1.1,45,2,3,2.8796296296296293,3.9411764705882355,13,13,2.8539682539682536,5.011223344556678,False,Robust
8,857,9,0.010501750291715286,243,0.22090909090909092,11,0.04526748971193416,4.310470964791953,0.55,4.467432950191571,0.001225238922217883,93,5,0.053763440860215055,0.013071895424836602,4.112903225806452,69,1,0.014492753623188406,0.006756756756756757,2.144927536231884,81,5,0.06172839506172839,0.011764705882352941,5.246913580246914,1.15,1.1,45,2,3,2.144927536231884,4.112903225806452,13,13,2.8385565052231723,4.488396624472574,False,Robust
9,901,10,0.011098779134295227,199,0.1809090909090909,10,0.05025125628140704,4.527638190954774,0.5,4.714285714285714,0.0010408621046301266,78,5,0.0641025641025641,0.012461059190031152,5.144230769230769,54,1,0.018518518518518517,0.006430868167202572,2.8796296296296293,67,4,0.05970149253731343,0.01486988847583643,4.014925373134329,1.15,1.3,40,2,3,2.8796296296296293,4.014925373134329,13,13,2.8178010471204185,4.618556701030927,False,Robust
10,900,10,0.011111111111111112,200,0.18181818181818182,10,0.05,4.5,0.5,4.684210526315789,0.0010849997293633227,74,5,0.06756756756756757,0.012307692307692308,5.489864864864865,57,1,0.017543859649122806,0.006493506493506494,2.701754385964912,69,4,0.057971014492753624,0.0149812734082397,3.869565217391304,1.25,1.1,50,2,3,2.701754385964912,3.869565217391304,13,13,2.8178010471204185,4.95,False,Robust
