entry_date,bucket,vix_close,ladder_distance_pct,dataset_condition,definition_timestamp_utc,instrument_id,raw_symbol,security_type,asset,underlying,strike_price,expiration,dte_calendar
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,247806,MQEU0 P0590,OOF,MQE,MNQZ0,5900.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,371065,MQEU0 P0600,OOF,MQE,MNQZ0,6000.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,544938,MQEU0 P0610,OOF,MQE,MNQZ0,6100.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,339604,MQEU0 P0620,OOF,MQE,MNQZ0,6200.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,342277,MQEU0 P0630,OOF,MQE,MNQZ0,6300.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,733458,MQEU0 P0640,OOF,MQE,MNQZ0,6400.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,760553,MQEU0 P0650,OOF,MQE,MNQZ0,6500.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,346830,MQEU0 P0660,OOF,MQE,MNQZ0,6600.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,166486,MQEU0 P0670,OOF,MQE,MNQZ0,6700.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,568179,MQEU0 P0680,OOF,MQE,MNQZ0,6800.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,541065,MQEU0 P0690,OOF,MQE,MNQZ0,6900.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,775732,MQEU0 P0700,OOF,MQE,MNQZ0,7000.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,755813,MQEU0 P0710,OOF,MQE,MNQZ0,7100.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,184693,MQEU0 P0720,OOF,MQE,MNQZ0,7200.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,276964,MQEU0 P0730,OOF,MQE,MNQZ0,7300.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,392433,MQEU0 P0740,OOF,MQE,MNQZ0,7400.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,291751,MQEU0 P0750,OOF,MQE,MNQZ0,7500.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,335339,MQEU0 P0760,OOF,MQE,MNQZ0,7600.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,336879,MQEU0 P0770,OOF,MQE,MNQZ0,7700.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,325087,MQEU0 P0780,OOF,MQE,MNQZ0,7800.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,653709,MQEU0 P0790,OOF,MQE,MNQZ0,7900.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,325093,MQEU0 P0800,OOF,MQE,MNQZ0,8000.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,461352,MQEU0 P0810,OOF,MQE,MNQZ0,8100.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,615314,MQEU0 P0820,OOF,MQE,MNQZ0,8200.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,325917,MQEU0 P0830,OOF,MQE,MNQZ0,8300.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,166548,MQEU0 P0840,OOF,MQE,MNQZ0,8400.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,167872,MQEU0 P0850,OOF,MQE,MNQZ0,8500.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,346847,MQEU0 P0860,OOF,MQE,MNQZ0,8600.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,740683,MQEU0 P0870,OOF,MQE,MNQZ0,8700.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,659665,MQEU0 P0880,OOF,MQE,MNQZ0,8800.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,548307,MQEU0 P0890,OOF,MQE,MNQZ0,8900.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,342291,MQEU0 P0900,OOF,MQE,MNQZ0,9000.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,642867,MQEU0 P0910,OOF,MQE,MNQZ0,9100.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,342286,MQEU0 P0920,OOF,MQE,MNQZ0,9200.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,347057,MQEU0 P0930,OOF,MQE,MNQZ0,9300.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,339639,MQEU0 P0940,OOF,MQE,MNQZ0,9400.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,361124,MQEU0 P0944,OOF,MQE,MNQZ0,9440.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,361227,MQEU0 P0945,OOF,MQE,MNQZ0,9450.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,361228,MQEU0 P0946,OOF,MQE,MNQZ0,9460.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,474076,MQEU0 P0947,OOF,MQE,MNQZ0,9470.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,424840,MQEU0 P0948,OOF,MQE,MNQZ0,9480.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,615018,MQEU0 P0949,OOF,MQE,MNQZ0,9490.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,282712,MQEU0 P0950,OOF,MQE,MNQZ0,9500.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,361329,MQEU0 P0951,OOF,MQE,MNQZ0,9510.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,734421,MQEU0 P0952,OOF,MQE,MNQZ0,9520.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,396725,MQEU0 P0953,OOF,MQE,MNQZ0,9530.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,304689,MQEU0 P0954,OOF,MQE,MNQZ0,9540.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,361330,MQEU0 P0955,OOF,MQE,MNQZ0,9550.0,2020-09-30 20:00:00+00:00,26
2020-09-04,30_to_35,30.75,15.0,available,2020-09-04 00:00:00+00:00,304404,MQEU0 P0956,OOF,MQE,MNQZ0,9560.0,2020-09-30 20:00:00+00:00,26
