entry_date,bucket,vix_close,ladder_distance_pct,expiration,dte_calendar,underlying,underlying_mid,ladder_target_strike,selected_short_strike,selected_long_strike,short_symbol,long_symbol,complete_quotes,short_quote_age_seconds,long_quote_age_seconds,leg_timestamp_gap_seconds,short_bid,short_ask,long_bid,long_ask,natural_credit_points,mid_credit_points,optimistic_credit_points,mid_credit_dollars,spread_quote_width_points,natural_credit_floor_pass,mid_credit_floor_pass,optimistic_credit_floor_pass,data_status
2020-09-04,30_to_35,30.75,15.0,2020-09-30 20:00:00+00:00,26,MNQZ0,11629.75,9885.2875,9880.0,9730.0,MQEU0 P0988,MQEU0 P0973,False,,,,,,,,,,,,,False,False,False,metadata_zero_records
2020-10-30,35_to_40,38.02,15.0,2020-11-27 21:00:00+00:00,28,MNQZ0,10997.0,9347.45,9340.0,9190.0,MQ4X0 P0934,MQ4X0 P0919,True,0.0,0.0,0.0,69.5,75.75,57.25,63.5,6.0,12.25,18.5,24.5,12.5,False,True,True,complete
2022-02-25,25_to_30,27.59,15.0,2022-03-31 20:00:00+00:00,34,MNQM2,14152.0,12029.2,12020.0,11870.0,MQEH2 P1202,MQEH2 P1187,False,,,,,,,,,,,,,False,False,False,incomplete_quotes
2022-05-13,25_to_30,28.87,15.0,2022-06-17 13:30:00+00:00,35,MNQM2,12380.375,10523.31875,10500.0,10350.0,MNQM2 P1050,MNQM2 P1035,True,25.0,25.0,0.0,83.5,94.0,70.75,80.75,2.75,13.0,23.25,26.0,20.5,False,True,True,complete
2022-07-15,20_to_25,24.23,12.5,2022-08-12 20:00:00+00:00,28,MNQU2,11983.0,10485.125,10450.0,10300.0,MQ2Q2 P1045,MQ2Q2 P1030,False,,,,,,,,,,,,,False,False,False,incomplete_quotes
2023-05-26,15_to_20,17.95,10.5,2023-06-23 20:00:00+00:00,28,MNQU3,14520.75,12996.07125,12950.0,12800.0,MQ4M3 P12950,MQ4M3 P12800,False,,,,,,,,,,,,,False,False,False,incomplete_quotes
2023-11-10,below_15,14.17,9.0,2023-12-08 21:00:00+00:00,28,MNQZ3,15596.125,14192.47375,14150.0,14000.0,MQ2Z3 P14150,MQ2Z3 P14000,True,16.0,24.0,8.0,21.5,28.75,16.5,23.75,-2.25,5.0,12.25,10.0,14.5,False,False,True,complete
2024-03-15,below_15,14.41,9.0,2024-04-12 20:00:00+00:00,28,MNQM4,18069.0,16442.79,16400.0,16250.0,MQ2J4 P16400,MQ2J4 P16250,True,107.0,134.0,27.0,32.5,39.5,26.5,33.5,-1.0,6.0,13.0,12.0,14.0,False,False,True,complete
2025-04-11,35_to_40,37.56,15.0,2025-05-16 20:00:00+00:00,35,MNQM5,18841.0,16014.85,15900.0,15750.0,MQ3K5 P15900,MQ3K5 P15750,True,0.0,6.0,6.0,152.75,177.25,143.5,163.25,-10.5,11.625,33.75,23.25,44.25,False,True,True,complete
2025-10-24,15_to_20,16.37,10.5,2025-11-21 21:00:00+00:00,28,MNQZ5,25542.875,22860.873125,22750.0,22600.0,MQ3X5 P22750,MQ3X5 P22600,True,26.0,16.0,10.0,55.25,62.0,50.0,56.5,-1.25,5.375,12.0,10.75,13.25,False,False,True,complete
