entry_date,bucket,vix_close,ladder_distance_pct,expiration,dte_calendar,underlying,target_entry_timestamp_utc,quote_available,records_received,quote_timestamp_utc,quote_age_seconds,bid,ask,mid,bid_size,ask_size
2020-09-04,30_to_35,30.75,15.0,2020-09-30 20:00:00+00:00,26,MNQZ0,2020-09-04 19:45:00+00:00,True,530,2020-09-04 19:45:00+00:00,0.0,11623.75,11635.75,11629.75,3,200
2020-10-30,35_to_40,38.02,15.0,2020-11-27 21:00:00+00:00,28,MNQZ0,2020-10-30 19:45:00+00:00,True,600,2020-10-30 19:45:00+00:00,0.0,10996.75,10997.25,10997.0,1,1
2022-02-25,25_to_30,27.59,15.0,2022-03-31 20:00:00+00:00,34,MNQM2,2022-02-25 20:45:00+00:00,True,537,2022-02-25 20:44:58+00:00,2.0,14147.5,14156.5,14152.0,1,1
2022-05-13,25_to_30,28.87,15.0,2022-06-17 13:30:00+00:00,35,MNQM2,2022-05-13 19:45:00+00:00,True,600,2022-05-13 19:45:00+00:00,0.0,12380.0,12380.75,12380.375,4,2
2022-07-15,20_to_25,24.23,12.5,2022-08-12 20:00:00+00:00,28,MNQU2,2022-07-15 19:45:00+00:00,True,600,2022-07-15 19:45:00+00:00,0.0,11982.75,11983.25,11983.0,9,4
2023-05-26,15_to_20,17.95,10.5,2023-06-23 20:00:00+00:00,28,MNQU3,2023-05-26 19:45:00+00:00,True,478,2023-05-26 19:45:00+00:00,0.0,14519.5,14522.0,14520.75,1,12
2023-11-10,below_15,14.17,9.0,2023-12-08 21:00:00+00:00,28,MNQZ3,2023-11-10 20:45:00+00:00,True,600,2023-11-10 20:45:00+00:00,0.0,15596.0,15596.25,15596.125,1,8
2024-03-15,below_15,14.41,9.0,2024-04-12 20:00:00+00:00,28,MNQM4,2024-03-15 19:45:00+00:00,True,600,2024-03-15 19:45:00+00:00,0.0,18068.75,18069.25,18069.0,8,9
2024-09-06,20_to_25,22.38,12.5,2024-10-04 20:00:00+00:00,28,MNQZ4,2024-09-06 19:45:00+00:00,True,600,2024-09-06 19:45:00+00:00,0.0,18699.75,18703.75,18701.75,1,1
2025-04-04,over_40,45.31,15.0,2025-05-02 20:00:00+00:00,28,MNQM5,2025-04-04 19:45:00+00:00,True,600,2025-04-04 19:45:00+00:00,0.0,17803.5,17804.0,17803.75,1,1
2025-04-11,35_to_40,37.56,15.0,2025-05-09 20:00:00+00:00,28,MNQM5,2025-04-11 19:45:00+00:00,True,600,2025-04-11 19:45:00+00:00,0.0,18840.75,18841.25,18841.0,4,4
2025-10-24,15_to_20,16.37,10.5,2025-11-21 21:00:00+00:00,28,MNQZ5,2025-10-24 19:45:00+00:00,True,600,2025-10-24 19:45:00+00:00,0.0,25542.75,25543.0,25542.875,6,4
